Name,URL,Language,Resource Type,Tags,State,Note 2 ,Year,Note,Organisation
SGSY Special Projects On Tasar Development In Bihar and Jharkhand,https://drive.google.com/file/d/0ByE9Mc41r3OrbDFnNjh3U1Q0WlU/view?usp=sharing,English,,,,Paper on innovative concepts on Tasar Development in Bihar and Jharkhand through trhough SGSY special project,,,Pradan
"Siali - A Document on the Siali Leaf Plate Making Activity of Kandhamal District, Orrisa",https://drive.google.com/file/d/0ByE9Mc41r3OrcjVXWXFyRWhROXc/view?usp=sharing,English,,,,A report on Siali Leaf plate making as livelihhood opportunity for rural poor women ,,,Pradan
"Silken Spread - A Special SGSY Project, Implemented by PRADAN",https://drive.google.com/file/d/0ByE9Mc41r3OrT055UHJTMmlqMlU/view?usp=sharing,English,,,,Report on the impact of Special SGSY project implemented by PRADAN,,,Pradan
Social Distancing ,https://drive.google.com/file/d/1CJvgFYcKqmrvpfUmGEI5_c2fILwOtyzV/view?usp=drive_link,English,,,,Urban,,,Reap Benefit
Soppu,https://drive.google.com/file/d/1K1p5CcR6D5RzXFk2K6UAdNgkg3ZYiwJb/view?usp=drivesdk,English,Booklet ,,,,,Yes,Azim Premji
Source Book on India's Organic Seeds,https://drive.google.com/file/d/1LAJGIbbtNFFLMdezO3CTtmyPHMXuM7DO/view?usp=drivesdk,English,Catalogue,,,,,Yes,ASHA network - Seed Catalogue
SRI - Transforming Rice Production with SRI (System of Rice Intensification) Knowledge and Practice,https://drive.google.com/file/d/0ByE9Mc41r3OrdWxnNjhEczBldnc/view?usp=sharing,English,,,,"Book explains the origin, principles and practices of System of Rice Intensification (SRI)",,,"AgSRI, Hivos & RRA"
SRI - Transforming Rice Production with SRI (System of Rice Intensification) Knowledge and Practice,https://drive.google.com/file/d/0ByE9Mc41r3OrdWxnNjhEczBldnc/view?usp=sharing,English,Book,,,,2013,Regenerative Agriculture,PRADAN
SRI ADOPTION STUDY,https://drive.google.com/file/d/0ByE9Mc41r3OrS2dacmpiZzNqcm8/view?usp=sharing,English,Brochure/Leaflet/Poster,,,,2014,Regenerative Agriculture,PRADAN
SRI ADOPTION STUDY,https://drive.google.com/file/d/0ByE9Mc41r3OrS2dacmpiZzNqcm8/view?usp=sharing,English,,,,The study focusses on the Adoption and disadoption of SRI by various farm sizes particularly targeting small holder farming,,,PRADAN
State of Nutrition among Parliamentary consituencies of India,https://drive.google.com/file/d/1wEm7Od0pem-PuZH9a23Cpdszh7Pn7YcG/view?usp=sharing,English,,,,The reports gives an assesment of the status of child health and nutrition in 543 parliamentary constituencies in context of POSHAN ABHIYAN,,,
Strands of Life - Promoting Tasar Yarn Production Among the Rural Poor,https://drive.google.com/file/d/0ByE9Mc41r3OrdFpwWFdtVWF4U00/view?usp=sharing,English,,,,A hand book for practitioners on Tasar silk worm rearing activity and tasar silk yarn production,,,Pradan
System of Rice Intensification - A Synthesis of Scientific Experiments and Experiences,https://drive.google.com/file/d/0ByE9Mc41r3OrdE5VaTZ3RFc3U28/view?usp=sharing,English,Book for practitioners,,,,2011,Regenerative Agriculture,PRADAN
System of Rice Intensification - A Synthesis of Scientific Experiments and Experiences,https://drive.google.com/file/d/0ByE9Mc41r3OrdE5VaTZ3RFc3U28/view?usp=sharing,English,,,,"Bookfor practioners, researchers, academicianson its principle, policy makers  on SRI - its principles and practices and science behind SRI.",,,Tamil Nadu Agricultural University and National Consortium of SRI
System of Rice Intensification (SRI) - An analysis of dynamics of adoption and disadoption process of SRI in six districts of eastern India ,https://drive.google.com/file/d/0ByE9Mc41r3OrRTc3WFNUVHJDQUU/view?usp=sharing,English,,,,A study report on the adoption and disadoption process of SRI in rainfed areas and assessment of SRI as comapred to conventioonal method,,,PRADAN
System of Rice Intensification (SRI) - An analysis of dynamics of adoption and disadoption process of SRI in six districts of eastern India ,https://drive.google.com/file/d/0ByE9Mc41r3OrRTc3WFNUVHJDQUU/view?usp=sharing,English,Study/Report ,,,,2012,Regenerative Agriculture,PRADAN
Tasar Handbook,https://drive.google.com/file/d/0ByE9Mc41r3OrNWY1NE1QbnJZaTA/view?usp=sharing,English,,,,A handbook on Tasar as a livelihood option for practitioners,,,Pradan
Tasar silk yarn – Assessing market potential,https://drive.google.com/file/d/0ByE9Mc41r3OrdEVFRnBkVWp2bFU/view?usp=sharing,English,,,,A report on the study conducted to assess the market potential of Tasar silk yarn,,,Pradan
Tasar yarn production a new way to poor women to earn a livelihood,https://drive.google.com/file/d/0ByE9Mc41r3OrclZ0N2xKV0JseUE/view?usp=sharing,English,,,,Article on Tasar yarn production as an a livelihood opportunity for rural poor women,,,Pradan
The State of Food Security and Nutrition in the World - 2020,https://drive.google.com/file/d/1cKrAFe5ewEhrfVP200u-Dgb7RrPRMx_B/view?usp=sharing,English,,,,The report highlight the state of Food Security and Nutrition in the World and the recommendation. ,,,"FAO. IFAD, WFP, WHO, UNICEF"
Towards Achieving Water Sanitation & Hygiene Education Goals ,https://drive.google.com/file/d/0ByE9Mc41r3OrRUlnMkgzN0VqOWc/view?usp=sharing,English,,,,"A guidebook for facilitators on on interventions on safe drinking Water, Improved Sanitation and Promoting Hygiene behaviour in the rural areas",,,PRADAN
Traditional Varieties of Rice in Tamil Nadu ,https://drive.google.com/file/d/1wGpN-G5didpc5U7vX0lSgxDzILM92Ybx/view?usp=sharing,English,Booklet ,,,,,,CIKS
Upcycling Challenge,https://drive.google.com/file/d/11p7mb5p4IxT8tyI0ssrgWQgevqOsG_Xy/view?usp=drive_link,English,,,,Urban,,,Reap Benefit
Vulnerability Indexing ,https://drive.google.com/file/d/1MGt0VCetv5rylosxDWBJwV_Pa8mumYkY/view?usp=drive_link,English,,,,Urban,,,Reap Benefit
Weaving Livelihoods - A Socio-Economic Impact Study of Special SGSY Tasar Projects in Bihar and Jharkhand,https://drive.google.com/file/d/0ByE9Mc41r3OrYWlrUGM2UE15MEk/view?usp=sharing,English,,,,Socio-economic impact study on the rearers through the special SGSY Tasar projects in Bihar and Jharkhand,,,Central Silk Board
