Name,URL,Language,Resource Type,Tags,State,Note 2 ,Year,Note,Organisation
FINAL REPORT ON STATUS OF AGRICULTURE IN KHAGARIA AND SAHARSA (BIHAR)_JULY 27_2017,https://drive.google.com/file/d/1q3mKrKGkhyhgp03DCnPsjQ0yCnWLZwal/view?usp=sharing,English,,,,"PRADAN is a relatively new entrant in the districts of Khagaria and Saharsa. Hence one of the main
objectives of the survey was to understand the state of agriculture in these two districts. Reliable
information on these aspects is expected to help PRADAN formulate appropriate strategies for
interventions leading to increased income, security and nutrition for the rural households in these
districts.",,,PRADAN
Finger Millet - training by Ganapathy KN- Indian Institute of Millet Research,https://drive.google.com/file/d/12jjHKu2BgCi66L0Ots0jp83cg9wPtekg/view?usp=sharing,English,,,,Training conducted by Ganapathy KN- Indian Institute of Millet Research,,,IIMR
Format for Pest Identification and It's Management,https://drive.google.com/file/d/0ByE9Mc41r3OrTDZZZWU1anBEYzQ/view?usp=sharing,English,Process Documentation/ Guidelines,,,,2011,Regenerative Agriculture,PRADAN
Format for Pest Identification and It's Management,https://drive.google.com/file/d/0ByE9Mc41r3OrTDZZZWU1anBEYzQ/view?usp=sharing,English,,,,Pest identification in different crops and its management,,,PRADAN
FPC registration procedure.pdf,https://drive.google.com/file/d/1df97yS2-vQawRY3Va5Yx0fzta4fHWWOv/view?usp=sharing,English,Process Documentation/ Guidelines,,,,,Regenerative Agriculture,PRADAN
FPO Registration Process,https://drive.google.com/file/d/1df97yS2-vQawRY3Va5Yx0fzta4fHWWOv/view?usp=sharing,English,,,,Guideline for FPO Registration Process ,,,PRADAN
Gliricidia,https://drive.google.com/file/d/0ByE9Mc41r3OrV1I3WF9VbXBuWms/view?usp=sharing,English,,,,Package of practice for Gliricidia- a live fence and green manure,,,Pradan
Goat Cluster in the Sarmathura region of Dholpur Case Study of a Good Practice,https://drive.google.com/file/d/0ByE9Mc41r3OrM3BVRnJjMFdOTjA/view?usp=sharing,English,,,,,,,"Institute of Development Studies, Jaipur"
Goat Cluster in the Sarmathura region of Dholpur Case Study of a Good Practice,https://drive.google.com/file/d/0ByE9Mc41r3OrM3BVRnJjMFdOTjA/view?usp=sharing,English,Impact Evaluation for Ongoing/Past Projects,,Rajasthan,,2006,Livestock and Poultry,PRADAN
Good Composting ,https://drive.google.com/file/d/1mm_kRefIM4lr-ZzniYLEYdWC8GlNPELn/view?usp=drive_link,English,,,,Urban,,,Reap Benefit
Good Water Habits ,https://drive.google.com/file/d/12P3YEanQg1pnyfijgShinZdV_Frv6yUl/view?usp=drive_link,English,,,,Urban  ,,,Reap Benefit
Handbook of Sustainable Agriculture,https://drive.google.com/file/d/0ByE9Mc41r3OrS1ZPUTdFS2tMTlE/view?usp=sharing,English,Handbook/Resource Book,,"Karnataka, Mizoram, Sikkim, Kerala, Maharashtra, HP, Andhra Pradesh, Gujarat, MP",,2016,Regenerative Agriculture,PRADAN
Handbook of Sustainable Agriculture ,https://drive.google.com/file/d/0ByE9Mc41r3OrS1ZPUTdFS2tMTlE/view?usp=sharing,English,,,,"The handbook on Sustainable Agriculture is for practioners, academicians and policy makers. The book focusses on the principles and practices of sustainable agriculture  ",,,Pradan
